Year,Value,Units,GeoCode
2000,31.373,1.000 eur,
2001,31.877,1.000 eur,
2002,31.79,1.000 eur,
2003,31.579,1.000 eur,
2004,31.987,1.000 eur,
2005,32.268,1.000 eur,
2006,33.567,1.000 eur,
2007,34.643,1.000 eur,
2008,35.075,1.000 eur,
2009,33.193,1.000 eur,
2010,34.666,1.000 eur,
2011,36.031,1.000 eur,
2012,36.114,1.000 eur,
2013,36.173,1.000 eur,
2014,36.818,1.000 eur,
2015,37.046,1.000 eur,
2016,37.567,1.000 eur,
